,01.NTTdocomo,02.サッポロファクトリー,03.サッポロガーデンパーク,04.愛生舘ビル,05.デ・アウネさっぽろビル,07.富士メガネ円山店,08.グランドメルキュール札幌大通公園,09.札幌医科大学 国際医学交流センター,10.ANAクラウンプラザホテル札幌,11.さっぽろ東急百貨店,12.プライムパーク円山公園,13.大通西8丁目エフロクマル前,14.南1条通大丸藤井セントラル前,15.南1条通JCB札幌東ビル前,17.札幌開発建設部,18.石山通プリンスホテル前,19.北1条通西4丁目,20.北1条通アーバンネット札幌ビル前南側,21.北海道庁別館西棟,22.札幌パークホテル,26.桑園ウエストプラザ,27.札幌総合法律事務所,28.桑園北5条通,29.北大工学部,30.セントラル札幌北ビル,31.札幌駅北口広場北西角,32.札幌第一合同庁舎前,34.駅前通sitatte sapporo前,35.駅前通MMS札幌駅前ビル前,36.北3条通苗穂駅前,39.札幌市民ギャラリー,40.札幌市役所,42.南1条通NTT東日本札幌病院前,43.大通西28丁目円山公園入口,45.駅前通南9条,46.りんゆう観光,47.北海道庁赤れんが庁舎前,48.サツドラ本社前,49.ローソン札幌桑園店,50.ローソン札幌北6条西十四丁目店,51.ローソン札幌北6条西二十丁目店,52.UR札幌北一条前,53.駅前通大通ビッセ前,54.駅前通札幌大通西4ビル前,55.西2丁目線H&Bプラザビル前,56.西2丁目線丸井今井前,57.西2丁目線NBF札幌南二条ビル前,58.札幌駅西口ヨドバシカメラ前,59.駅前通miredo前,60.イオン札幌桑園ショッピングセンター,61.まいばすけっと北5条西22丁目店,62.中島公園南9条公園内駐輪場前,63.NX商事知事公館前ビル前,64.まいばすけっと北11条西4丁目店,65.コープさっぽろそうえん店,67.札幌三越,68.エアリービル,69.札幌駅北口さつきた8・1前,70.カナモトホール,71.北ガスアリーナ札幌46,72.大通東４丁目北海道新聞社前,73.札幌TRビル
01.NTTdocomo,0.0,2248.9497245771545,3608.8894867761023,1435.0148907340574,3011.826496385574,1830.0819729025943,386.0980266036795,857.4954166914149,2073.3511504116777,1872.834334783287,1786.5730856940459,979.355958550299,1753.35099721771,2016.1756692278977,837.2660679301982,835.510059610725,1286.0536428170547,1031.566476675892,1176.9337727340644,2857.0573577035752,1565.3221301356489,853.1534441778354,911.156349624913,2684.937804812985,2813.0412086553074,2168.3991409409227,2295.8113633847483,1550.9662337224934,1673.8702577765114,3341.1201416034273,2690.735743232013,1485.8949176430654,600.8356016690591,1985.0682719842152,2587.6659448085525,2853.526911612064,1283.0906124172925,2983.371223701975,1565.3221301356489,783.0654898886936,1677.1239685150374,707.2625420122232,1422.074624715449,1410.6580322932464,2143.4881138267824,1756.3418839143014,1949.4576940570757,1942.2045499852802,1550.9662337224934,1171.1222529849613,1572.749004712051,2600.121828469048,513.7086537367941,2620.9302142609667,2310.104384384956,1569.0566049278925,1490.2274611051077,2425.8356854755257,1676.6750236117714,2685.457402628349,2368.5383411635576,2070.3247921614816
02.サッポロファクトリー,2249.0567026888007,0.0,1359.9397621989474,1610.153607269644,1066.1579711672894,4079.138675591395,1862.958676085121,3095.74763844551,959.5405203546168,1160.0573359830078,4035.6297883828465,1678.6551566236772,1161.3078511750437,898.483179164856,3086.3227706189996,2339.598545319876,962.8960817601,1229.057877116895,1861.7544885297887,1969.7265221535047,3526.4496901388693,2576.692373677183,3156.78140764832,2617.938578756202,2235.4720240811944,1845.820264232534,1718.4080417887083,1214.3648550905164,1359.0214129897834,1092.1704170262722,464.21930840265816,763.0548069340894,2838.6704168285514,4228.824128949231,2001.3378986144892,1428.4007787064395,1215.5646276598134,1064.046897047897,3526.4496901388693,3011.0976177830353,3908.5217186558416,1665.899967581292,1085.258082215135,1248.855757507383,1287.765273956751,901.2475470028045,1095.4534934119424,1873.4172569975078,1214.3648550905164,3385.6400449005964,3821.805707400852,2141.3673562341914,2759.333711760201,2298.367482768772,4534.575219010153,1220.4265474548347,3707.023711073849,1598.6254147391019,828.1330583402388,731.6909476821731,409.76864628450744,1225.1197332724614
03.サッポロガーデンパーク,3585.3887687869055,1359.9397621989474,0.0,2963.049747758428,651.4029517235692,5403.25367579188,3199.290742183226,4439.828362740998,1509.7338732796707,1710.245102553993,5360.9261755571415,3022.7358809191655,2516.658374246215,2254.4625740355723,4299.104206338271,3691.2497080316152,2306.7736031428385,2554.3833767282567,2411.9422551007738,3179.2133434116367,3392.2384746374746,2768.542630655868,3446.6763104637175,2144.3716561126794,1761.9051014376714,1464.7940946384074,1337.3818721945815,2033.8051183636167,1909.2091795607687,1407.7730671865604,1585.3664625164472,2107.500215276723,4182.751141124039,5558.239974873501,3210.8247198726212,1035.125380337357,2301.3068526299858,649.8220118773552,3392.2384746374746,3091.476175270045,3861.0320149856543,3002.2320336793973,2429.135603597874,2599.8535374899807,2568.3749931105117,2252.2453269854022,2450.8040164831136,1712.0513580322188,2033.8051183636167,3338.150341230409,4116.708692548368,3350.8541774923233,3587.0137975433986,1856.916611896534,4485.449015125905,2571.424327437432,3659.534007403662,1207.3575501038044,2172.578466682872,954.5369831225412,1769.708408483455,1510.7754996984224
04.愛生舘ビル,1435.561781870693,1621.0988469148742,2980.859166505622,0.0,2397.040961893966,2975.2872333047003,1049.4637552670135,1607.7782281461655,1455.9990786819335,1257.4342028294866,2789.2925990598255,455.07515593198247,459.16769261172993,721.9923646219177,2249.930726648966,731.1851358991047,662.0815224013397,415.5629562987879,1059.3338852579247,1513.3227190020864,2724.6245256087363,1770.0284255427462,2346.639698787644,2358.5217136207725,2475.1435337291778,1830.5014660147929,1957.9136884586187,935.6995013446355,1061.6632120665408,2610.5257380356243,1403.368165322447,860.2316188112413,1350.7010065292068,2973.2523868706353,1216.595728868797,2268.1280732191744,668.6394803970591,2394.9298877745737,2724.6245256087363,2209.272453252903,3089.748250024071,732.8644729508017,541.080846747782,529.6642543255791,714.4266065027058,875.3481059466344,655.2743894510955,1583.2442026209815,935.6995013446355,2583.8148803704635,2985.3732862210845,1256.3871897675592,1949.1920028995255,2283.0486845510304,3722.72866589399,395.4341259812395,2905.1985465437165,1848.120438312096,795.6812456441043,2068.0910640919806,1210.7068975022662,1458.117746451511
05.デ・アウネさっぽろビル,3016.114973312576,1066.1579711672894,651.4029517235692,2393.775952284098,0.0,4833.97988031755,2630.0169467088963,3870.5545672666685,940.4600778053401,1140.9713070796627,4791.652380082812,2453.462085444836,1947.3845787718842,1685.1790388622924,3729.8304108639404,3121.9759125572855,1737.4998076685083,1985.109581253927,1842.6684596264438,2876.9490473320975,3002.4250710698725,2294.2016561335654,2877.402514989387,1824.3319457837008,1441.8653911086928,1074.9806910708048,947.568468626979,1464.531322889286,1339.9353840864383,1431.4271307417578,1465.3474810183573,1538.2264198023922,3613.47734564971,4988.966179399171,2908.560423793082,646.442449045534,1732.0330571556558,260.0086083097525,3002.4250710698725,2701.662771702443,3471.218611418052,2432.9582382050676,1859.8618081235431,2030.57974201565,2074.687566971472,1682.9715315110716,1881.530221008783,1322.2379544646162,1464.531322889286,2948.336937662807,3547.4348970740375,3048.589881412784,3017.740002069068,1507.1412606207869,4095.635611558304,2002.1505319631017,3269.72060383606,817.5441465362018,1603.3046712085415,484.4336087888614,1233.333957079283,941.501704224092
07.富士メガネ円山店,1830.0819729025945,4079.031697479749,5438.971459678696,2980.3231391023164,4829.938054749,0.0,2216.179999506274,1364.7283393409075,3903.4331233142725,3702.9163076858813,188.78671217451307,2677.027589153258,3299.4885193205764,3562.3131913307643,1121.9654091484167,2375.795460633789,3116.1356157196487,2861.648449578486,3007.0157456366587,4076.5829708170336,2971.694241031634,2663.296957149433,1957.7587523019731,4492.775361465706,4620.878765308028,3976.236697593644,4103.64892003747,3381.048206625088,3503.952230679106,5171.202114506022,4243.688992031294,3315.976890545659,1621.8055609578662,154.98629908162115,3896.2674155287964,4661.364468264786,3113.172585319887,4791.2087803546965,2971.694241031634,2339.6173215367266,1631.6341688096288,2537.3445149148174,3126.7687068588784,3115.3521144366755,3689.6256359296485,3461.0359660577305,3495.595216159942,3757.1772762310484,3381.048206625088,2571.2630850970063,1287.7263702173225,3819.6474415825064,1820.3805139978258,4428.767770913688,1808.1715865229992,3132.8799175235617,2198.0586159740187,4233.673242128247,3381.3691057552005,4515.539375530942,4051.027724211113,3888.4363505249084
08.グランドメルキュール札幌大通公園,386.0980266036795,1862.8516979734745,3222.791460172422,1048.916864130378,2625.7284697818945,2216.179999506274,0.0,1242.3411274184732,1687.2531238079985,1486.7363081796075,2172.671112297725,593.2579319466195,1367.2529706140306,1630.0776426242182,1223.3640945338775,493.7624727090904,899.9556162133752,645.4684500722128,790.835746130385,2517.7623265526818,1686.7237690516736,721.19732599916,1297.254376228593,2304.7957163205624,2432.899120162884,1788.2570524484995,1915.6692748923253,1164.8682071188143,1287.7722311728319,2955.022114999747,2304.6377166283337,1099.7968910393856,985.2639058015147,2371.166298587895,2248.3709136576595,2473.3848231196407,896.9925858136133,2603.2291352095517,1686.7237690516736,1169.1635164923734,2063.2219951187167,321.1645154085438,1035.9765981117696,1024.5600056895669,1757.390087223103,1370.243857310622,1563.3596674533962,1556.1065233816007,1164.8682071188143,1545.9141238134005,1958.84703131573,2260.8267973181546,899.8066803404736,2240.788125768544,2694.849297922958,1182.958578324213,1867.2977899866535,2045.6935969831025,1290.576997008092,2299.3593760246695,1982.4403145598783,1684.226765557802
09.札幌医科大学 国際医学交流センター,855.3821663754509,3085.0881714354564,4445.027933634404,1615.594799761408,3847.964943243875,1367.509005158534,1222.2364734619803,0.0,2909.489597269979,2708.972781641588,1181.51437091366,1415.2579325535235,1934.7601799796682,2197.584851989856,642.1524985027997,1011.0671212928812,2122.192089675356,1867.7049235341933,2013.0722195923656,2975.0766420183495,2176.70698721587,1705.0420494778496,1004.1243204900289,3527.032189782543,3655.1355936248647,3010.49352591048,3137.9057483543056,2387.1046805807946,2510.0087046348126,4086.1182254035625,2878.9606526903854,2322.0333645013666,257.0772216169585,1365.4741587244696,2705.6852291233263,3695.621296581621,2119.2290592755935,3825.465608671532,2176.70698721587,1389.444856117077,1481.9700218779046,1425.2933268167053,2007.1992616869657,1995.782669264763,2324.89729658874,2341.4665208858178,2130.8668768190337,2778.342996843581,2387.1046805807946,1776.2758312812423,1377.5950580749181,2718.1411127838223,863.8235092471236,3463.0245992305245,2114.950437747823,1871.0266133491778,1328.010364208426,3267.930070445083,2261.7996605832877,3521.59584948665,2686.299384870204,2906.463239019783
10.ANAクラウンプラザホテル札幌,2076.623119158281,959.5405203546168,1567.9341724358978,1454.2840981298032,941.0418832120324,3906.705092060875,1690.5250925546013,2931.0627131123733,0.0,200.516815628391,3863.1962048523264,1513.9702312905404,1007.8927246175895,815.9115650564354,2913.8891870884795,2182.4840584029903,798.0079535142129,1045.6177270996318,902.2139681751714,2068.888032414962,2566.9091697842523,1617.151853322566,2200.352712178387,1678.008127481675,1292.7274484070833,902.9098255803506,775.4976031365248,525.0394687349908,399.48089263516636,1592.7247706806677,1413.2163501332122,598.7345656480971,2673.985491495415,4061.6913911424963,2100.4994088759463,812.1289945372409,792.5412030013606,938.93080909264,2566.9091697842523,2051.557097428419,2948.981198301225,1493.4663840507724,920.369953969248,1091.0878878613553,1136.068786624195,743.4796773567767,942.0383668544883,914.0098079513798,525.0394687349908,2426.0995245459794,2870.385094263037,2240.5288664956483,2336.310287101748,1355.4570441165881,3575.034698655537,1062.6586778088067,2747.483190719232,655.7149760869185,663.8128170542466,613.3971893133564,1091.018948064757,265.71228422633345
11.さっぽろ東急百貨店,1876.3518030502585,1158.7506781068905,1768.450988064289,1256.1980684751252,1141.5586988404234,3706.433775952852,1490.2537764465792,2730.791397004351,200.51681562839102,0.0,3662.9248887443036,1313.6989151825182,941.9310114582802,942.7946288660012,2713.6178709804567,1982.2127422949677,597.9571904424959,845.3464109916097,701.6971525467806,2114.6720414059214,2366.392354155861,1416.6350376941748,1999.8358965499958,1489.6283044056995,1356.3021136004197,961.6080567997199,839.0722683298613,324.92739094491156,198.96407700677543,1793.241586309059,1611.9118235151789,532.772852488788,2473.7141753873925,3861.4200750344735,1962.9727408201445,1012.6458101656319,592.2698868933385,1139.447624721031,2366.392354155861,1851.040281800028,2748.464382672834,1293.1950679427503,720.3191908975309,895.7303811625227,1070.1070734648856,677.5179641974676,876.0766536951791,714.3507934059085,324.92739094491156,2225.582708917588,2669.8682786346462,2103.51725539358,2136.0389709937253,1414.1552753359576,3374.517883027146,867.3011711099742,2546.966375090841,719.2896412802551,597.8511038949374,813.9140049417476,1289.7144214467237,329.2869494196699
12.プライムパーク円山公園,1786.4138833744848,4035.363607951639,5395.3033701505865,2792.20421905218,4786.429167540452,188.78671217451307,2172.511909978164,1176.6094192907717,3859.765033786163,3659.2482181577716,0.0,2488.9086691031225,3111.3695992704406,3374.1942712806285,1078.297319620307,2187.6765405836536,3072.467526191539,2817.9803600503765,2963.347656108549,3887.7962586425206,2997.5851218213334,2619.7880699408847,1914.2498650934244,4449.266474257157,4577.369878099478,3932.7278103850945,4060.14003282892,3337.380117096978,3460.284141150996,5127.534024977912,4055.5700719811584,3272.3088010175493,1433.6866409077304,203.92669263247183,3707.4807033542834,4617.855581056237,3069.504495791777,4747.699893146147,2997.5851218213334,2296.1084343281773,1589.5917569064559,2377.0066386343988,2958.9125735046596,2947.4959810824566,3501.5067158795127,3293.1798327035117,3307.4762961098063,3713.6683890225,3337.380117096978,2597.1539658867055,1244.2174830087738,3630.8607294079934,1776.8716267892773,4385.258883705139,1834.0624673126983,2944.7609974734264,2156.016204070846,4190.164354919697,3213.5129724009817,4471.871286002833,3862.908804160977,3844.92746331636
13.大通西8丁目エフロクマル前,984.5788108734755,1684.3594408271038,3044.299203026051,455.65893218375834,2449.173608517834,2547.005364899676,598.953832427363,1417.0924818218327,1510.6982625439377,1310.1814469155468,2366.209184514744,0.0,773.9950386674109,1036.8197106775986,1818.9104451362891,668.5138271124499,723.1545374831131,468.9135888081519,614.2808848663243,1956.4811293927958,2280.314853783624,1319.5185027030955,1895.7351604983885,2153.2884581845346,2271.450993225736,1626.8089255113514,1754.2211479551772,988.3133458547534,1111.2173699087712,2776.5298578533757,1718.195511378128,921.3046338930147,1160.0152602048743,2550.1689723255536,1659.754139259507,2311.9366961824926,720.4377245495524,2441.7810082724036,2280.314853783624,1764.962781427791,2658.7683457211283,277.7893170188192,602.1538618295554,590.7372694073525,1164.132155276483,936.4211210284078,970.1017355067764,1379.55166211754,988.3133458547534,2139.505208545351,2554.393381918142,1699.5456001582688,1498.2874646102694,2079.356144047589,3288.4403826549087,591.3776130149885,2460.888874718604,1884.2454700459543,856.7542607258777,2122.8045147606085,1525.5342435579469,1507.6719042937414
14.南1条通大丸藤井セントラル前,1755.9544159925206,1161.9311543031445,2521.691473893892,448.84575609460023,1946.73720441886,3305.0982123492167,1369.856389388841,1937.5892071906824,1005.6953212068275,807.1304453543808,3119.1035781043415,775.7460533678759,0.0,262.8246720101877,2579.741705693482,1178.2906941448318,478.3639223273425,735.9555904206153,1379.7265193797523,1434.7020845501077,3045.0171597305634,2090.4210596645735,2667.0323329094717,2169.5280743518906,2036.2018835466113,1641.5078267459107,1518.9720382760524,731.4460646640937,877.9456119925436,2151.3580454238945,944.2004727107171,409.9278613361356,1680.511985573724,3303.0633659151513,1152.8919054837743,1817.8243157440686,731.6872302150773,1944.6261302994676,3045.0171597305634,2529.6650873747294,3419.5592290685872,1053.5353703866951,357.3632466737848,345.94665425158195,390.1371166090721,425.0443484715287,196.10669683936555,1394.2505633520993,731.4460646640937,2904.2075144922906,3315.184265265601,1293.43642005721,2269.5846370213526,2094.0550452821485,4052.539644938506,211.71652590724233,3225.591180665543,1399.189411226446,345.3774881689985,1617.7873066168747,751.5392048905361,1009.186719365861
15.南1条通JCB札幌東ビル前,2018.7790880027085,899.1064822929568,2258.8668018837047,711.6704281047879,1685.2861890269432,3567.9228843594046,1632.681061399029,2200.4138792008703,744.2443058149107,941.7467911099432,3381.9282501145294,1038.5707253780638,262.8246720101877,0.0,2842.56637770367,1441.1153661550195,740.5570396595425,998.7802624308031,1641.7889977082511,1328.8321106990306,3306.4841993173313,2353.2457316747614,2929.8570049196596,2422.2524332965854,2036.9717542219944,1647.1541313952614,1519.7419089514356,992.025812989959,1139.0559221682456,1888.5333734137068,681.3758007005297,540.7157648335319,1943.3366575839118,3565.888037925339,1355.236817146392,1556.3733003521518,993.2255855592559,1683.1751149075508,3306.4841993173313,2791.1321269614973,3682.383901078775,1316.360042396883,620.1879186839725,608.7713262617697,389.50852810917945,262.02568033584237,196.97031424708655,1654.4426385673785,992.025812989959,3165.6745540790585,3578.008937275789,1495.7813317198277,2532.4093090315405,2099.701349931499,4314.609728188615,474.54119791743005,3487.058220252311,1399.9592819018292,605.7940162396814,1356.3362912249577,488.7145328803485,1009.9565900412442
17.札幌開発建設部,837.2660679301982,3086.2157925073534,4335.617314380352,2257.747298264208,3722.2186205784233,1121.9654091484167,1223.3640945338775,642.1524985027999,2910.617218341876,2710.100402713485,1078.4565219398683,1816.622026480497,2576.9126784824684,2839.7373504926563,0.0,1653.2196197956814,2123.319710747253,1868.8325446060906,2014.1998406642629,3617.2291405211486,2021.8932021725675,1555.577522978856,852.631775630345,3387.3618836140067,3515.4652874563285,2870.823219741944,2998.2354421857694,2388.2323016526925,2511.1363257067096,4178.386209533626,3521.1131511931862,2323.1609855732636,899.2297201197584,1276.9517082300376,3347.8377276261253,3555.950990413085,2120.356680347491,3685.795302502996,2021.8932021725675,1238.187922028763,851.5100931044985,1544.5286099424216,2259.3406926456473,2247.9241002234444,2967.0497950915405,2593.6079518444994,2773.019375321834,2649.457842060471,2388.2323016526925,1621.4620462379396,747.1351293015124,3360.2936112866214,712.6610798272485,3323.3542930619883,1486.998563838554,2406.3226728580908,1171.0470025155394,3128.259764276547,2513.9410915419694,3522.723470558547,3205.804409093756,2780.7169163543313
18.石山通プリンスホテル前,837.2215284402728,2339.5318062443293,3662.711571007417,731.4770473235772,3102.408578052748,2371.399340127004,476.6801082708534,1003.8903349684695,2163.9332320788517,1963.416416450461,2185.4047058821293,669.4070018739213,1184.301095419301,1446.910340807583,1646.0428334712694,0.0,1376.6357244842286,1122.148558343066,1267.5158544012384,2057.289006185204,2145.0405143464086,1197.8774342700133,1748.1324470698419,2781.4758245914154,2909.579228433737,2264.9371607193525,2392.349383163178,1641.5483153896673,1764.4523394436853,3273.286098017026,2126.1314770029107,1576.4769993102393,746.8131133515109,2369.364493692939,1787.8975932901812,2950.0649313904937,1373.6726940844665,3079.9092434804047,2145.0405143464086,1620.287018328966,2485.8603568463745,679.7369616255785,1261.6428964958388,1250.2263040736361,1316.6280493447066,1595.9101556946912,1380.4077922586666,2032.7866316524542,1641.5483153896673,2004.2308691081355,2381.4853930433883,1800.3534769506768,1350.9301821770666,2717.468234039397,3118.840772716294,1125.1756826695757,2325.6145352813883,2522.3737052539554,1516.2432953921611,2776.039484295523,1935.6248736879315,2160.9068738286555
19.北1条通西4丁目,1286.1606209287,962.8960817601,2322.8358439590475,658.2408780326292,1736.650617908735,3116.242593831294,900.0625943250205,2136.0849489782217,795.6087346967025,596.5158525521485,3072.7337066227456,718.9924671563888,477.3472276191032,740.1718996292909,2123.426688858898,1387.5062942688385,0.0,266.1617953567951,902.3147652052061,1687.5820358480948,2567.009966814287,1617.2526503526008,2194.5400878762407,1696.4401912194328,1813.0620113278376,1168.4199436134531,1295.832166057279,273.6179789432958,399.58168966520105,2055.0664987863724,1411.1586057190236,199.84127482601062,1879.007727361263,3269.161439481942,1385.1510371250736,1607.7377292339436,253.32330788773476,1734.5395437893426,2567.009966814287,2051.657894458454,2949.08199533126,703.003885821192,142.49748720246,317.90867746745187,867.4843442281754,476.76474640131244,673.4539244584688,921.1626802196417,273.6179789432958,2426.200321576014,2858.909625640751,1525.6955516985092,1797.092391988122,1620.967162149691,3575.135495685572,289.4794674149034,2747.583987749267,1186.0389159107563,397.0978860987823,1407.7007201067495,1088.9612036505685,796.0362240501712
20.北1条通アーバンネット札幌ビル前南側,1043.0567668085068,1217.3832479012626,2577.3230101002105,415.562956298788,1984.3932121113126,2873.1387397111016,656.9587402048273,1893.40702724438,1043.3513288992801,843.850019012325,2829.629852502553,476.3145454225475,731.8343937602656,994.6590657704533,1880.322834738705,1144.828372534997,254.4871661411624,0.0,643.8538205956592,1928.8856753008738,2309.14446094647,1359.3442851542725,1935.9555583991712,1943.7743576796092,2060.3961777880145,1415.7541100736296,1543.1663325174554,520.9521454034722,646.9158561253774,2309.553664927535,1665.6457718601864,454.32844096717304,1636.3298056274216,3026.4835177481013,1632.158685167585,1855.480323436521,253.07652409827116,1982.28213799192,2309.14446094647,1793.792388590637,2691.2164894634434,459.90003170099857,396.9846533436224,391.1550760003556,1121.9715103693377,731.2519125424749,927.9410905996311,1168.4968466798182,520.9521454034722,2168.3348157081973,2604.868383806176,1671.9501460663469,1538.5078625110518,1868.3013286098674,3317.269989817755,543.9666335560657,2489.71848188145,1433.3730823709325,651.5850522399447,1655.4433143093272,1343.4483697917315,1043.3703905103475
21.北海道庁別館西棟,1176.9337727340644,1860.4478306536712,2470.1481406110697,1060.9463270948302,1840.6893141490673,3007.0157456366587,790.835746130385,2031.3733666881571,902.2139681751717,701.6971525467806,2963.50685842811,614.2808848663242,1375.0121517966684,1637.836823806856,2014.1998406642626,1282.7947119787739,897.6649241775651,645.3833707960421,0.0,2570.762014259121,1666.0339689173002,716.2766524556138,1299.4775113114351,1544.5552963678156,1662.7178314090172,1018.0757636946325,1145.4879861384584,650.1883961733777,502.7330755400052,2494.93873885584,2308.823529896589,1097.5061990035756,1774.2961450711985,3162.00204471828,2274.0350241258316,1703.2035343657744,649.3225353573243,1833.0478464556845,1666.0339689173002,1150.681896561467,2048.105997434273,593.7770376265562,1040.162411380025,1034.9867859483597,1765.1492684057407,1374.4296705788774,1571.118848636034,770.8185003008211,650.1883961733777,1525.224323679027,1969.5098933960858,2313.8264850245937,1436.620940677532,1470.6229822308703,2674.1594977885848,1187.1443915924685,1846.60798985228,1275.5123082292355,1294.7628102763474,1515.611157488528,1986.6261278281338,899.1876099249754
22.札幌パークホテル,2863.1360274831463,2031.4388400445173,3231.731781302373,1513.3227190020862,2961.922207013016,4120.408932089784,2533.375331659558,2972.102927966556,2027.0760675207239,2011.238595992522,3931.6530484047703,1961.1729819803554,1204.1081506381413,1282.8317617058133,3614.2554264693554,2056.6952233887046,1677.6782997464961,1928.8856753008743,2570.7152782041376,0.0,4179.867895932149,3254.5726576587176,3757.045062729323,3373.636224990032,3240.310034184753,2845.6159773840523,2723.080188914194,1935.554215302235,2077.259989411697,2842.306308311982,1774.1902121425812,1614.0360119742768,2753.745695306902,4115.518032052173,302.4309987230215,2836.3548119502093,1931.0016076342308,2959.8111328936234,4179.867895932149,3638.878960761018,4454.072949844461,2238.9622989991744,1556.6776240929382,1545.2610316707355,1153.0272558126117,1544.8574420416555,1400.214847477507,2598.358713990241,1935.554215302235,4026.935723857285,4349.697986041475,256.93552923452717,3369.5221246091182,3298.1631959202896,5041.993386251087,1411.030903326396,4300.113292174983,2603.297561864588,1549.4856388071398,2632.3378849402543,1760.9080484181059,2213.2948700040024
